id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms,blocking_issues,warnings
BPN_0943,अथर्त्तुविशेषे मत्स्य विशेषाणां मांसगुणानाह,,,,मांसवर्गः,,हेमन्ते कूपजा ; शिशिरे सारसा हिताः ; वसन्ते नादेया ; ग्रीष्मे चौब्ज्यसमुद्भवाः ; वर्षासु तडागजाता ; अपथ्या नदीभवाः शरदि नैर्झरा श्रेष्ठा,,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_0966,मुद्गः - चणकोद्भवः,,,,कृतान्नवर्गः,Guna: लघव,"हिता, चणकगुणयुक्ताः, मध्यमगुणाः",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0967,पूरिका तैलपक्का घृतपक्का च,,,,कृतान्नवर्गः,"Guna: गुरु, स्निग्धा | Virya: उष्णा","रुच्या, स्वाद्वी , बल्या, पिता-अस्रदूषिका, चक्षुस्तेजोहरी, वातविनाशिनी, घृतपक्वा, चक्षुष्या, रक्तपित्तहृत्",,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0968,वटकः शुष्कः सरसः च,,,,कृतान्नवर्गः,"Guna: गुरु,","बल्या, बृंहणा, वीर्य्यवर्द्धना, वातामयहरा, रुच्या, विशेषादर्दितापहा, विबन्धभेदि, श्लेष्मकारिण, अत्यग्निपूजिता, शुक्रल, बलकृत्, रोचन, विबन्धहृत्, विदाही, श्लेष्मल, पवनापह",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_0975,अलीकमत्स्यः,,,,कृतान्नवर्गः,"Guna: ,",,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_0977,अलीकमत्स्यस्य गुणानाह,,,,कृतान्नवर्गः,,"बृंहणा, रोचना, वृष्या, बल्या, वातगदापह, कोष्ठशुद्धिकरा, शुष्का, किञ्चित्-पित्तप्रकोपणी, अर्दितसहनुस्तम्भविशेषेण हिता",,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_0998,मुक्तामोदका मुद्गमोदका वा,,,,कृतान्नवर्गः,Rasa: स्वादु | Guna: लघु | Virya: शीत,"ग्रही, त्रिदोषघ्न, रुचिप्रद, चक्षुष्य, ज्वरहृत्, बल्य, तर्पण, मुद्गमोदक",,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1002,"परिवेष्याणि, रसाला",,,,कृतान्नवर्गः,"Rasa: मधुरा | Guna: स्निग्धा, शीतल","शुक्रला, बल्या, रोचनी, वात-पित्तजित्, दीपनी, बृंहणी, शिशिरा, सरा, रक्त-पित्त-तृषा-दाह-प्रतिश्यायविनाशक",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1004,"प्रपाणकानि, आम्रफलप्रपाणकम्",,,,कृतान्नवर्गः,,"सद्यो रुचिकर, बल्य, शीघ्रम् इन्द्रियतर्पण",,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1024,अथ तण्डुलः।  तस्य गुणानाह,,,,कृतान्नवर्गः,,"मेहजन्तुघ्न, नवस्त्वतिदुर्जर",,,COMMENTARY_AS_HEADWORD|VERSE_OR_MULTILINE_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1032,अथ शरदि वर्षासु च जलस्य निर्विषत्वे च हेतुमाह,,,,वारिवर्गः,Rasa: स्वादु,"निर्मल, निर्विष, शुक्रल, अदोषल",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1033,अत एवाह,,,,वारिवर्गः,,"नागानां फुत्कारात विशवातेन सविष, दिव्य",,,MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1034,अथानार्त्तवजलस्य लक्षणं गुणानाह,,,,वारिवर्गः,,त्रिदोषकारक,,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1038,अन्ये तु,,,,वारिवर्गः,"Guna: रूक्ष, सूक्ष्म | Virya: शीतल","दारुण, सूक्ष्म, वात-पित्त-कफादूषक",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1043,अथ भौमानामेव नादेयादीनां लक्षणानि गुणांश्च ।,,"नद्या नदस्य वा नीरं नादेयमिति कीर्तितम् |

नादेयमुदकं रूक्षं वातलं लघु दीपनम् |

अनभिष्यन्दि विशदं कटुकं कफपित्तनुत् ||२९||",,वारिवर्गः,"Rasa: कटु | Guna: रूक्ष, लघु, विशद","वातल, दीपन, अनभिष्यन्दि, कफपित्तनुत्",,,COMMENTARY_AS_HEADWORD|VERSE_OR_MULTILINE_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,LEGACY_HERB_ENGLISH_CONTAINS_SANSKRIT_TEXT
BPN_1044,शीघ्रवहाः नद्यः,,"नद्यः शीघ्रवहा लघ्व्यः सर्वा याश्चामलोदकाः |

गुर्व्यः शैवलसंछन्ना मन्दगाः कलुषाश्च याः ||३०||",,वारिवर्गः,Guna: लघु,,,,MULTI_ENTITY_OR_GROUP_HEADWORD|NO_KARMA_FOR_RECOMMENDATION,LEGACY_HERB_ENGLISH_CONTAINS_SANSKRIT_TEXT
BPN_1045,मन्दगाः,,"नद्यः शीघ्रवहा लघ्व्यः सर्वा याश्चामलोदकाः |

गुर्व्यः शैवलसंछन्ना मन्दगाः कलुषाश्च याः ||३०||",,वारिवर्गः,Guna: गुरु,,,,NO_KARMA_FOR_RECOMMENDATION,LEGACY_HERB_ENGLISH_CONTAINS_SANSKRIT_TEXT
BPN_1056,स्वादु,,,,वारिवर्गः,Guna: लघु,त्रिदोषघ्न,,,CONTEXT_DEPENDENT_HEADWORD,
BPN_1065,अथ गुणवतस्तोयस्य लक्षणान्याह,,"अगन्धमव्यक्तरसं सुशीतं तर्षनाशनम् |

स्वच्छं लघु च हृद्यञ्च तोयं गुणवदुच्यते ||७१||",,वारिवर्गः,Guna: लघु,"स्वच्छ , हृद्य",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,LEGACY_HERB_ENGLISH_CONTAINS_SANSKRIT_TEXT
