herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
प्रपौण्डीरकम्,कर्पूरादिवर्गः,"प्रपौण्डरीक, पौण्डर्य, चक्षुष्य, पौण्डरीयक","Rasa: मधुर, तिक्त, कषाय | Virya: शीत | Vipaka: मधुर","शुक्रल, चक्षुष्य, वर्ण्य-पित्त-कफप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0200
गुडूची,गुडूच्यादिवर्गः,"गुडूची, मधुपर्णी, अमृता, अमृतवल्लरी, छिन्ना, छिन्नरुहा, छिन्नोद्भवा, वत्सादनी, जीवन्ती, तन्त्रिका, सोमा, सोमवल्ली, कुण्डली, चक्रलक्षणिका, धीरा, विशल्या, रसायनी, चन्द्रहासा, वयस्था, मण्डली देवनिर्मिता","Rasa: कटु, तिक्त, कषाय | Guna: लघु | Virya: उष्ण | Vipaka: स्वादु","रसायनी, संग्राहिणी, बल्या-अग्निनदीपिनी, दोषत्रय-आम-तृड्दाह-मेह-कास-पाण्डु-कामला-कुष्ठ-वाता-अस्र-ज्वर-क्रिमि-वमी-हर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0201
नागवल्ली,गुडूच्यादिवर्गः,"ताम्बूलवल्ली, ताम्बूली, नागिनी, नागवल्लरी ताम्बूल","Rasa: तुवर, तिक्त, कटु, क्षार | Guna: विशद, लघु, तीक्ष्ण | Virya: उष्ण","रुच्य, सर, वश्य, रक्त-पित्तकर, बल्य, श्लेष्मा-आस्यदौर्गन्ध्य-मल-वात-श्रमा-पह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0202
बिल्वः,गुडूच्यादिवर्गः,"बिल्व, शाण्डिल्य, शैलूष, मालूर श्रीफल","Rasa: तुवर, तिक्त | Guna: रूक्ष, लघु | Virya: उष्ण","ग्राही, अग्नि-पित्तकृत्, वात-श्लेष्महर, बल्य, पाचन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0203
गम्भारी,गुडूच्यादिवर्गः,"गम्भारी, भद्रपर्णी, श्रीपर्णी, मधुपर्णिका, काश्मीरी, काश्मरी, हीरा, काश्मर्य, पीतरोहिणी, कृष्णवृन्ता, मधुरसा महाकुसुमिका","Rasa: तुवर, तिक्त, मधुर | Guna: गुरु | Virya: उष्ण","दीपनी, पाचनी, मेध्या, भेदिनी, भ्रम-शोषजित्, दोष-तृष्णा-आम-शूला-आर्श-विष-दाह-ज्वरा-पहा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0204
पाटला,गुडूच्यादिवर्गः,"पाटलि, पाटला, अमोघा, मधुदूती, फलेरुहा, कृष्णवृन्ता, कुबेराक्षी, कालस्थाली, अलिवल्लभा ताम्रपुष्पी","Rasa: तुवर, तिक्त | Virya: शीत","दोषत्रयापहा, अरुचि-श्वास-शोथा-अस्र-च्छर्दि-हिक्का-तृषाहरी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0206
अग्निमन्थः,गुडूच्यादिवर्गः,"अग्निमन्थ, जय, श्रीपर्णी, गणिकारिका, जया, जयन्ती, तर्कारी, नादेयी वैजयन्तिका","Rasa: कटु, तिक्त, तुवर, मधुर | Virya: उष्ण","श्वयथु, कफ-वातहृत्, पाण्डुनुत्, अग्निद",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0208
श्योनाकः,गुडूच्यादिवर्गः,"श्योनाक, शोषण, नट, कट्वङ्ग, टुण्टुक, मण्डूकपर्ण, पत्रोर्ण, शुकनास, कुटन्नट, दीर्घवृन्त, अरलु, पृथुशिम्ब कटम्भर","Rasa: तुवर, तिक्त | Virya: शीत | Vipaka: कटु","दीपन, ग्राही, अनिल-श्लेष्म-पित्त-कास-प्रणाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0209
बृहत्पञ्चमूलम्,गुडूच्यादिवर्गः,,"Rasa: तिक्त, कषाय, मधुर | Guna: लघु | Virya: उष्ण","कफ-वातनुत्, श्वास-कास-घ्न, अग्निदीपन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0211
शालपर्णी,गुडूच्यादिवर्गः,"शालपर्णी, स्थिरा, सौम्या, त्रिपर्णी, पीवरी, गुहा, विदारिगन्धा, दीर्घाङ्गी, दीर्घपत्रा  तथा अंशुमती","Rasa: तिक्त, मधुर | Guna: गुरु","छर्दि-ज्वर-श्वासा-अतिसार-जित्, शोष-दोषत्रयहरी, बृंहणी, रसायनी, विषहरी, क्षतकास-कृमिप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0212
पृश्निपर्णी,गुडूच्यादिवर्गः,"पृश्निपर्णी, पृथक्पर्णी, चित्रपर्णी, अहिपर्णी, क्रोष्टुविन्ना, सिंहपुच्छी, कलशी, धावनी गुहा",Rasa: मधुर | Virya: उष्ण,"त्रिदोषघ्नी, वृष्य, दाह-ज्वर-श्वास-रक्ता-अतीसार-तृड्वमीह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0213
वार्त्ताकी,गुडूच्यादिवर्गः,"वार्त्ताकी, क्षुद्रमण्टाकी, महती, बृहती, कुली, हिङ्गुली, राष्ट्रिका, सिंही, महोष्ट्री दुष्प्रधर्षिणी","Rasa: कटु, तिक्त | Virya: उष्ण","आस्यवैरस्य-मला-रोचक-नाशिनी, कुष्ठ-ज्वर-श्वास-शूल-कासा-अग्नि-मान्द्यजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0214
गोक्षुरः,गुडूच्यादिवर्गः,"गोक्षुर, क्षुरक, त्रिकण्ट, स्वादुकण्टक, गोकण्टक, गोक्षुरक, वनश्रृङ्गाट, पलङ्कषा, श्वदंष्ट्रा तथा इक्षुगन्धिका",Rasa: मधुर | Virya: शीत | Vipaka: स्वादु,"बलकृत्, बस्तिशोधन, दीपन, वृष्य, पुष्टिद, चाश्मरीहर, प्रमेह-श्वास-कासा-आर्श-कृच्छ्र-हृद्रोग-वातनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0219
लघुपञ्चमूलम्,गुडूच्यादिवर्गः,,Rasa: स्वादु | Guna: लघु | Virya: उष्ण,"बल्य, पित्ता-निलापह, बृंहण, ग्राहि, ज्वर-श्वासा-अश्मरीप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0220
दशमुलम्,गुडूच्यादिवर्गः,,,"त्रिदोषघ्न, श्वास-कास-शिरोरुज, तन्द्रा-शोथ-ज्वरा-आनाह-पार्श्वपीडा-अरुचीहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0221
जीवन्ती,गुडूच्यादिवर्गः,"जीवन्ती, जीवनी, जीवा, जीवनीया, मधुस्रवा, माङ्गल्यनामधेया, शाकश्रेष्ठा तथा पयस्विनी","Rasa: स्वादु | Guna: स्निग्ध, लघु | Virya: शीत","दोषत्रयापहा, रसायनी, बलकरी, चक्षुष्या, प्राहिणी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0222
मुद्गपर्णी,गुडूच्यादिवर्गः,"मुद्गपर्णी, काकपर्णी, सूर्यपर्णी, अल्पिका, सहा, काकमुद्गा मार्जारगन्धिका","Rasa: तिक्त, स्वादु | Guna: रूक्ष, लघु | Virya: शीत","शुक्रला, चक्षुष्या, क्षतशोथघ्नी, ग्राहिणी, ज्वरदाहनुत्, दोषत्रयहरी, ग्रहणी, अर्शो-अतिसारजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0223
माषपर्णी,गुडूच्यादिवर्गः,"माषपर्णी, सूर्यपर्णी, काम्बोजी, हयपुच्छिका, पाण्डुलोमशपर्णी, कृष्णवृन्ता महासहा","Rasa: तिक्त, मधुर | Guna: रूक्ष | Virya: शीत","शुक्रवलासकृत्, ग्राहिणी, शोथ-वात-पित्त-ज्वरा-अस्र जित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0224
सेहुण्डः,गुडूच्यादिवर्गः,"सिंहतुण्ड, वज्री, वज्रद्रुम, सुधा, समन्तदुग्धा, स्नुक् (स्नुह), स्नुही  गुडा","Rasa: कटु | Guna: तीक्ष्ण, गुरु","रेचन, दीपन, शूला-आमा-अष्ठीलिका-आध्यानकफ-गुल्मोदरा-अनिलापह, उन्माद-मोह-कुष्ठा-आर्श-शोथ-मेदो-अश्म-पाण्डुता-व्रण-शोथ-ज्वर-प्लीह-विषदूषी-विषहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0231
शातला,गुडूच्यादिवर्गः,"शातला, सप्तला, सारा, विमला, विदुला, भूरिफेना चर्मकषा",Rasa: तिक्त | Guna: लघु | Virya: शीत | Vipaka: कटु,"वातल, शोथ-कफा-आनाह-पित्तो-उदावर्त्त-रक्तजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0233
कलिहारी,गुडूच्यादिवर्गः,"कलिहारी, हलिनी, लाङ्गली, शुक्रपुष्पी, विशल्या, अग्निशिखा, अनन्ता,  वह्निवक्त्रा गर्भनुत्","Rasa: तिक्त, कटु, तुवर | Guna: तीक्ष्ण, लघु | Virya: उष्ण","सरा, कुष्ठ-शोफा-आर्शो-व्रण-शूलजित्, सक्षार, श्लेष्मजित्, कृमिहृत्, पित्तला-गर्भपातिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0234
धत्तूरः,गुडूच्यादिवर्गः,"धत्तूर, धूर्त, धुत्तूर, उन्मत्त, कनकाह्वय , देवता, कितव, तूरी, महामोही, शिवप्रिय, मातुल मदन","Rasa: कषाय, मधुर, तिक्त | Guna: गुरु | Virya: उष्ण","मद-वर्णाग्नि-वातकृत् -ज्वर-कुष्ठनुत्, यूका-अलिक्षा-विनाशक, गुरु--र्व्रण-श्लेष्म-कण्डू-कृमिविषापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0236
अटरूषकः,गुडूच्यादिवर्गः,"वासक, वासिका, वासा, भिषङ्‌माता, सिंहिका, सिंहास्य, वाजिदन्ता, आटरूप, अटरूषक, अटरूष, वृष, ताम्र सिंहपर्ण","Rasa: तिक्त, तुवर | Guna: लघु | Virya: शीत","वातकृत्, स्वर्य, कफ-पित्ता-अस्रनाशन, हृद्य, तृडर्त्तिहृत्, श्वास-कास-ज्वर-च्छर्दि-मेह-कुष्ठ-क्षया-पह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0237
पर्पटः,गुडूच्यादिवर्गः,"पर्पट, वरतिक्त, पर्पटक, पांशुपर्याय  कवचनामक",Rasa: तिक्त | Guna: लघु | Virya: शीत,"पित्ता-अस्र-भ्रम-तृष्णा-कफ-ज्वर-हर, संग्राही, दाहनुत्, वातल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0238
निम्बः,गुडूच्यादिवर्गः,"निम्ब, पिंचुमर्द, पिचुमन्द, तिक्तक, अरिष्ट, पारिभद्र हिङ्गुनिर्यास",Guna: लघु | Virya: शीत | Vipaka: कटु,"ग्रही, अग्नि-वातनुत्, अहृद्य, श्रम-तृट्कास-ज्वरा-अरुचि-कृमिप्रणुत्, व्रण-पित्त-कफ-च्छर्दि-कुष्ठ-हृल्लास-मेहनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0239
महानिम्बः,गुडूच्यादिवर्गः,"महानिम्ब, द्रेका, रम्यक, विषमुष्टिक, केशमुष्टि, निम्बक, कार्मुक जीव","Rasa: तिक्त, कषाय | Guna: रूक्ष | Virya: शीत","ग्राही, कफ-पित्त-भ्रम-च्छर्दि-कुष्ठ-हृल्लास-रक्त-जित्, प्रमेह-श्वास-गुल्मा-आर्शो-मूषिका-विषनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0242
पारिभद्रः,गुडूच्यादिवर्गः,"पारिभद्र, निंबतक, मन्दार पारिजातक",,अनिल-श्लेष्म-शोथ-मेद-कृमि-प्रणुत्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0243
काञ्चनारः,गुडूच्यादिवर्गः,"काञ्चनार, काञ्चनक, गण्डारि शोणपुष्पक, कोविदार, भरिक, कुद्दाल, युगपत्रक, कुण्डली, ताम्रपुष्प, अश्मन्तक स्वल्पकेशरी","Rasa: तुवर | Guna: लघु, रूक्ष | Virya: शीत","ग्राही, श्लेष्मपित्तनुत्, कृमि-कुष्ठ-गुदभ्रंश-गण्डमाला-व्रणापह, संग्राहि, पित्ता-अस्र-प्रद-रक्षय-कासनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0245
शोभाञ्जनः,गुडूच्यादिवर्गः,"शोभाञ्जन, शित्रु, तीक्ष्णगन्धक, अक्षीव मोचक","Rasa: कटु, मधुर, क्षार, तिक्त | Guna: तीक्ष्ण, लघु, रूक्ष | Virya: उष्ण | Vipaka: कटु","दीपन, रोचन, विदाहकृत्, संग्राही, शुक्रल, हृद्य, पित्त-रक्त-प्रकोपण, चक्षुष्य, कफ-वातघ्न, विद्रधि-श्वयथु-क्रिमी-मेदोऽ-अपची-विष-प्लीह-गुल्म-गण्डव्रण-हर, विशेषाद्दाहकृत्, प्लीहा-अनविद्रधि-व्रण-घ्न, पित्त-रक्तहृत्, विशेषाद्दीपन, सर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0246
सिन्दुवारः,गुडूच्यादिवर्गः,"सिन्दुवार, सिन्दुक सिन्दुवारक  - निर्गुण्डी, शेफाली सुवहा","Rasa: तिक्त, कषाय, कटु | Guna: लघु","स्मृतिद, केश्य, नेत्रहित, शूल-शोथा-आम-मारुतापह, कृमि-कुष्ठा-अरुचि-श्लेष्म-ज्वरा-अनिलापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0250
कुटजः,गुडूच्यादिवर्गः,"कुटज, कूटज, कौट, वत्सक, गिरिमल्लिका, कालिङ्ग, शक्रशाखी, मल्लिकापुष्प, इन्द्र , यवफल, वृक्षक पाण्डुरद्रुम","Rasa: कटु, तुवर | Guna: रूक्ष | Virya: शीत","दीपन, अर्शो-अतिसार-पित्ता-अस्र-कफ-तृष्णा-आम-कुष्ठ-नुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0252
करञ्जी,गुडूच्यादिवर्गः,"उदकीर्य, षड्ग्रन्था, हस्तिवारुणी, मर्कटी, वायसी, करञ्जी करभञ्जिका","Rasa: तिक्त, तुवर | Virya: उष्ण | Vipaka: कटु","स्तम्भनी, वमि-पित्ता-आर्शः-कृमि-कुष्ठ-प्रमेह-जित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0256
कपिकच्छूः,गुडूच्यादिवर्गः,"कपिकच्छू, आत्मगुप्ता, वृष्या, मर्कटी, अजडा, कण्डुरा, व्यङ्गा, दुःस्पर्शा, प्रावृषायणी, लाङ्गली शूकशिम्बी","Rasa: मधुर, तिक्त | Guna: गुरु","वृष्य, बृंहणी, वातहर, बल्य, कफ-पित्ता-अस्र-नाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0258
मांसरोहिणी,गुडूच्यादिवर्गः,"मांसरोहिणी, अतिरुहा (अग्निरुहा), वृत्ता, चर्मकषा, वसा, प्रहारवल्ली, विकशा वीरवती",,"वृष्य, सर, दोषत्रयापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0260
चिह्लकः,गुडूच्यादिवर्गः,,,"वातनिर्हार, श्लेष्मघ्न, धातुपुष्टिकृत्, आग्नेय, मत्स्यनिषूदन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0261
टङ्कारी,गुडूच्यादिवर्गः,,Rasa: तिक्त | Guna: लघु,"वातजित्, श्लेष्मघ्न, दीपनी, शोथोदरव्यथाहन्त्री, पीठविसर्पिहित",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0262
वेतसः,गुडूच्यादिवर्गः,"वेतस, नम्रक, वानीर, वञ्जुल, अभ्रपुष्प, विदुल, रथ शीत",Virya: शीत,"दाह-शोथा-आर्शो-योनि-रुक्प्रणुत्, वीसर्प-कृच्छ्रा-अस्र-पित्ता-अश्मरि-कफा-अनिलापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0263
जलवेतसः,गुडूच्यादिवर्गः,"निकुञ्चक, परिव्याध, नादेय जलवेतस",Virya: शीत,"कुष्ठहृत्, वातकोपन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0264
इज्जलः,गुडूच्यादिवर्गः,"इज्जल, हिज्जल, निचुल अम्बुज",,विषापह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0265
अङ्कोटः,गुडूच्यादिवर्गः,"अंकोट, दीर्घकील, अङ्कोल निकोचक","Rasa: तुवर, कटु | Guna: लघु, तीक्ष्ण, स्निग्ध उष्ण","विसर्प-कफ-पित्ता-अस्र-मूषकाहिविषापह, कृमि-शूला-आम-शोफ-ग्रह-विषापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0266
लक्ष्मणा,गुडूच्यादिवर्गः,,,पुत्रजननी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0269
स्वर्णवल्ली,गुडूच्यादिवर्गः,"स्वर्णवल्ली, रक्तफला, काकायु और काकवल्लरी",,"शिरःपीडाहर, त्रिदोषाहर, दुग्धदा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0270
कार्पासी,गुडूच्यादिवर्गः,"कार्पासी, तुण्डकेशी और समुद्रान्ता",Rasa: मधुर | Guna: लघु | Virya: उष्ण,वातनाशिनी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0271
करीर,गुडूच्यादिवर्गः,,"Rasa: कटु, कषाय, स्वादु | Guna: रूक्ष, गुरु, | Vipaka: कटु","सर, कफकृत्, विदाही, वात-पित्तल",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0276
यव,गुडूच्यादिवर्गः,,"Rasa: कषाय, कटु | Guna: रूक्ष | Virya: उष्ण | Vipaka: कटु","वात-पित्त-कर, बद्धमूत्र, कफापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0277
नलः,गुडूच्यादिवर्गः,"नल, पोटगल, शून्यमध्य धमन","Rasa: मधुर, तिक्त, कषाय | Virya: उष्ण","कफ-रक्तजित्, हृद्वस्ति-योन्यर्त्ति-दाह-पित्त-विसर्प-हृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0278
भद्रमुञ्जः,गुडूच्यादिवर्गः,"भद्रमुञ्ज, शर, बाण, तेजन और इक्षुवेष्टन ये सब नाम 'सरपत' के हैं। मुञ्ज, मुज्ञ्जातक, बाण, स्थूलदर्भ सुमेखल","Rasa: मधुर, तुवर | Virya: शीत","दाह-तृष्णा-विसर्पा-अस्र-मूत्र-कृच्छ्रा-अक्षिरोगजित्, दोषत्रयहर, वृष्य, मेखलोपयोगी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0279
कासः,गुडूच्यादिवर्गः,"कास, कासेक्षु, इक्षुरस, इक्ष्वालिका, इक्षुगन्धा तथा पोटगल","Rasa: मधुर, तिक्त | Virya: शीत | Vipaka: स्वादु","सर, मूत्र-कृच्छ्रा-अश्म-दाहा-अस्र-क्षय-पित्तजरोगजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0280
गुन्द्रः,गुडूच्यादिवर्गः,"गुन्द्र, पटेरक, गुल्म शृङ्गवेराभमूलक","Rasa: कषाय, मधुर | Virya: शीत","पित्त-रक्तजित्, स्तन्य-शुक्र-रजो-मूत्र-शोधन, मूत्र-कृच्छ्र-हृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0281
एरका,गुडूच्यादिवर्गः,"एरका, गुन्द्रमूला, शिबि, गुन्द्रा शरी",Virya: शीत,"वृष्य, चक्षुष्य, वात-कोपिनी, मूत्र-कृच्छ्रा-अश्मरी-दाह-पित्त-शोणित-नाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0282
कुशः,गुडूच्यादिवर्गः,"कुश, दर्भ, बहिं, सूच्यग्र और यज्ञभूषण","Rasa: मधुर, तुवर | Virya: शीत","त्रिदोषघ्न, मूत्र-कृच्छ्रा-अश्मरी-तृष्णा-बस्ति-रुक्प्रदरा-अस्रजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0283
कत्तृणम्,गुडूच्यादिवर्गः,"रौहिष, देवजग्ध, सौगन्धिक, भूतिक, ध्यामपौर, श्यामक तथा धूमगन्धिक","Rasa: तुवर, तिक्त | Vipaka: कटु","रौहिष, हृत्कण्ठव्याधि-पित्ता-अस्र-शूल-कास-कफ-ज्वर-व्यपोह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0284
भूतृणम्,गुडूच्यादिवर्गः,"गुह्यबीज, भूतीक, सुगन्ध, जम्बुकप्रिय, भूतृण, छत्रा और मालातृणक","Rasa: कटु, तिक्त | Guna: तीक्ष्ण, लघु, रूक्ष | Virya: उष्ण","रेचन, विदाहि, दीपन, अनेत्र्य, मुखशोधन, अवृष्य, बहुविट्क, पित्त-रक्तप्रदूषण",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0285
नीलदूर्वा,गुडूच्यादिवर्गः,"नीलदूर्वा, रुहा, अनन्ता, भार्गवी, शतपर्विका, शष्य, सहस्रवीर्या और शतवल्ली","Rasa: तिक्त, मधुर, तुवर | Virya: शीत",कफ-पित्ता-अस्र-वीसर्प-तृष्णा-दाह-त्वगामयहर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0286
श्वेतदूर्वा,गुडूच्यादिवर्गः,,"Rasa: कषाय, स्वादु, तिक्त | Virya: शीत","व्रण्या, जीवनी, विसर्पा-अस्र-तृट्-पित्त-कफ-दाहहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0287
गण्डदूर्वा,गुडूच्यादिवर्गः,"गण्डदूर्वा, गण्डाली, मत्स्याक्षी और शकुलादनी","Rasa: तिक्त, कषाय, मधुर | Guna: लघु | Virya: शीत | Vipaka: कटु","लोहद्राविणी, ग्राहिणी, वातकृत्, दाह-तृष्णा-बलासा-अस्र-कुष्ठ-पित्त-ज्वरा-पह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0288
वाराहीकन्दः,गुडूच्यादिवर्गः,,"Rasa: स्वादु, तिक्त | Vipaka: कटु","शुक्रा-आयुः-स्वर-वर्णा-अग्नि-बल-पित्त-विवर्द्धिनी, कफ-कुष्ठ-मरुत्-मेह-कृमिहृत्, रसायनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0289
विदारीकन्दः,गुडूच्यादिवर्गः,"विदारी, स्वादुकन्दा, क्रोष्ट्री, सिता, इक्षुगन्धा, क्षीरवल्ली, क्षीरशुक्ला तथा पयस्विनी","Rasa: मधुर | Guna: स्निग्ध, गुरु | Virya: शीत","बृंहणी, स्तन्य-शुक्रदा, स्वर्य, मूत्रल, जीवनी, बलवर्णदा, पित्ता-अस्र-पवन-दाह-हर, रसायनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0290
अश्वगन्धा,गुडूच्यादिवर्गः,"वराहकर्णी, वरदा, बलदा, कुष्ठगन्धिनी,","Rasa: तिक्त, कषाय | Virya: उष्ण","अश्वगन्धाऽ-अनिल-श्लेष्म-श्वित्र-शोथ-क्षया-पहा, बल्या, रसायनी, अतिशुक्रला",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0293
पाठा,गुडूच्यादिवर्गः,"पाठा, अम्बष्ठा, अम्बष्ठकी, प्राचीना, पापचेलिका, एकाष्ठीला, रसा, पाठिका","Rasa: कटु | Guna: तीक्ष्ण, लघु | Virya: उष्ण","वात-श्लेष्महरी, शूल-ज्वर-च्छर्दि-कुष्ठा-अतीसार-हृद्रुज, दाह-कण्डू-विष-श्वास-कृमि-गुल्म-गर-व्रणहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0294
श्वेतात्रिवृत्,गुडूच्यादिवर्गः,"श्वेता त्रिवृत्, त्रिभण्डी, त्रिवृता, त्रिपुटा, सर्वानुभूति, सरला, निशोत्रा और रेचनी","Guna: स्वादु, रूक्ष | Virya: उष्ण","रेचनी, समीरहृत्, पित्त-ज्वर-श्लेष्म-पित्त-शोथो-उदरापहा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0295
श्यामात्रिवृत्,गुडूच्यादिवर्गः,"श्यामा, त्रिवृत्, अर्धचन्द्रा, पालिन्दी, सुषेणिका, मसूरविदला, काली, कैषिका और कालमेषिका",,"हीनगुणा, तीव्रविरोचिनी, मूर्च्छा-दाह-मद-भ्रान्ति-कण्ठोत्कर्षणकारिणी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0296
जयपालः,गुडूच्यादिवर्गः,"जयपाल, दन्तिबीज, तिन्तिडीफल","Guna: गुरु, स्निग्ध","रेची, पित्त-कफा-पह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0299
नागदन्ती,गुडूच्यादिवर्गः,,"Rasa: कटु, तिक्त | Guna: रूक्ष | Vipaka: कटु","वात-कफा-पहा, मेधाकृत्, विषदोषघ्नी, गुल्म-शूलो-उदरव्याधि-कुष्ठदोष-निकृन्तनी, पाचन, शोथनाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0300
नीली,गुडूच्यादिवर्गः,"नीली, नीलिनी, तूणी, काला, दोला, नीलिका, रञ्जनी, श्रीफली, तुच्छा, ग्रामीणा, मधुपर्णिका, क्लीतका, कालकेशी नीलपुष्पा",Rasa: तिक्त | Virya: उष्ण,"रेचनी, केश्या, मोह-भ्रमापहा,  उदर-प्लीह-वात-रक्त-कफा-अनिलापह, आम-वात-मुदावर्त्त-मद-विषोद्धत",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0302
शरपुङ्खः,गुडूच्यादिवर्गः,"शरपुंख, प्लीहशत्रु और नीलीवृक्षाकृति","Rasa: तिक्त, कषाय | Guna: लघु","यकृत्पीह-गुल्म-व्रण-विषा-पह, कासा-अस्र श्वास-ज्वरहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0303
वृद्धदारुकः,गुडूच्यादिवर्गः,"वृद्धादारुक, आवेगी, छागान्त्री और वृष्यगन्धिका","Rasa: कषाय, कटु, तिक्त | Virya: उष्ण","रसायन, वृष्य, वाता-आम-वाता-अर्शः-शोथ-मेह-कफ-प्रणुत्, शुक्रा-आयु-र्बल-मेधा-अग्नि-स्वर-कान्तिकर, सर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0304
अपामार्गः,गुडूच्यादिवर्गः,"अपामार्ग, शिखरी, अधःशल्य, मयूरक, मर्कटी, दुर्ग्रहा, किणिही, खरमञ्जरी","Rasa: तिक्त, कटु | Guna: तीक्ष्ण","सर, तीक्ष्ण, दीपन, पाचन, रोचन-श्छर्दि-कफ-मेदो-अनिलापह, हृद्रुजा-अध्मा-अर्शः-कण्डू-शूलो-उदरा-अपचीः",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0307
