herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
चित्रकम्,हरीतक्यादिवर्गः,"चित्रक, अनलनामा, पाठी, व्याल, ऊषण","Rasa: कटु | Guna: लघु, रूक्ष | Virya: उष्ण | Vipaka: कटु","वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0026
षडूषणम्,हरीतक्यादिवर्गः,,Guna: रूक्ष | Virya: उष्ण,विषापह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0028
यवानिका,हरीतक्यादिवर्गः,"यवानिका, उग्रगन्धा, ब्रह्मदर्भा, अजमोदिका, दीप्यका, दीप्या, यवसाह्वया","Rasa: कटु, तिक्त | Guna: तीक्ष्ण, लघु | Virya: उष्ण","पाचनी, रुच्या, दीपनी, पित्तला शुक्र-शूलहृत्, वात-श्लेष्मो-उदर-आनाह-गुल्म-प्लीह-कृमिप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0029
अजमोदा,हरीतक्यादिवर्गः,"अजमोदा, खराश्वा, मायूरः, दीप्यक, ब्रह्मकुशा, कारवी, लोचमस्तका","Rasa: कटु | Guna: लघु, तीक्ष्ण | Virya: उष्ण","दीपनी, कफवातनुत्, विदाहिनी, हृद्या, वृष्या, बलकरी, नेत्रामय-कृमिच्छर्दि-हिक्का-बस्ति-रुजहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0030
पारसीकयवनी,हरीतक्यादिवर्गः,,Guna: गुरु,"पाचनी, रुच्या, ग्राहिणी, मादिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0031
शुक्लजीरक,हरीतक्यादिवर्गः,"जीरक, जरण, अजाजी, कणा, दीर्घजीरक","Rasa: कटु | Guna: रूक्ष, लघु | Virya: उष्ण","दीपन, संग्राही, पित्तल, मेध्य, गर्भाशयविशुद्धिकृत्, ज्वरघ्न, पाचन, वृष्य, बल्य, रुच्य, कफापह, चक्षुष्य, पवन-अध्मान-गुल्म-च्छर्द्य-तिसारहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0032
धान्यकम्,हरीतक्यादिवर्गः,"धान्यक, धानक, धान्य, धाना, धानेयक, कुनटी, धेनुका, छत्रा, कुस्तुम्बुरु, वितुन्नक","Rasa: कषाय, तिक्त, कटु | Guna: स्निग्ध, लघु | Virya: उष्ण | Vipaka: मधुर","अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0035
शतपुष्पा,हरीतक्यादिवर्गः,"शतपुष्पा, शताह्वा, मधुरा, कारवी, मिसि, अतिलम्बी, सितच्छत्रा, संहितच्छत्रिका","Rasa: कटु | Guna: तीक्ष्ण, लघु | Virya: उष्ण","पित्तकृत्, दीपनी, ज्वर-अनिल-श्लेष्म-व्रण-शूल-अक्षिरोगहृत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0037
मिश्रेया,हरीतक्यादिवर्गः,"छत्रा, शालेय, शालीन, मिश्रेया, मधुरा, मिसि",Guna: रूक्ष | Virya: उष्ण,"निशूलनुत्, अग्निमान्द्यहरी, हृद्या, वद्धविट्कृमि-शुक्रहृत्, पाचनी, कास-वमि-श्लेष्म-अनिलाह्वरेत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0038
चन्द्रशूरः,हरीतक्यादिवर्गः,"चेन्द्रिका, चर्महन्त्री, पशुमेहनकारिका, नन्दिनी, कारवी, भद्रा, वासपुष्पा, सुवासरा",,"हिक्का-वात-श्लेष्म-अतिसारिहित, असृग्वात-गदद्वेषि, बलपुष्टिविवर्द्धन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0040
चतुर्बीजम्,हरीतक्यादिवर्गः,,,पवन-आमय-अजीर्ण-शूलमाध्मान-पार्श्वशूल-कटिव्यथानिहन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0041
हिङ्गु,हरीतक्यादिवर्गः,"सहस्रवेधि, जतुक, बाह्लीक, हिङ्गु, रामठ",Guna: तीक्ष्ण | Virya: उष्ण,"पाचन, रुच्य, वातवलासनुत्, शूल-गुल्म-उदर-आनाहकृमिघ्न, पित्तवर्द्धन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0042
वचा,हरीतक्यादिवर्गः,"वाचा, उग्रगन्धा, षड्ग्रन्था, गोलोमी, शतपर्विका, क्षुद्रपत्री, मङ्गल्या, जटिला, उग्रा, लोमशा","Guna: तिक्त, कटु | Virya: उष्ण","उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0043
